,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8,KM9_1,KM9_2,KM9_3,KM9_4,KM9_5,KM9_6,KM9_7,KM9_8,KM9_9
purchases_installments_frequency,0.3644373415642458,0.7036925664085766,0.4310419361849711,0.07330550373387644,0.6849302667151164,0.0472070168756027,0.07065808775276612,0.7276672734530938,0.006467046388725778,0.675275618582791,0.0461853,0.7301256914366596,0.22712171070811743,0.7213738667724029,0.17522859961315282,0.6456380743066457,0.00282964251497006,0.018179918855808525,0.6621552718589272,0.6457106309794989,0.13557424131274132,0.015400721921921923,0.6794304521224087,0.002252297448662103,0.6457823685932389,0.7719013305439331,0.01588071918876755,0.14374491754756868,0.09389431384615383,0.780170272138229,0.6835543984220908,0.750076084452975,0.003432690253671562,0.6467918866832093,0.017546937147461725,0.14485500574712643,0.0986668221512247,0.7789729480519479,0.6849312395626243,0.7541024085051548,0.0031834285714285714,0.650055967099567,0.11483901222493888
cash_advance_frequency,0.12763742659217878,0.0824680452650387,0.028806005549132947,0.2984742518669382,0.0304021925872093,0.05832334908389585,0.3094432369324685,0.08428129341317366,0.22178655490311214,0.028321313087490963,0.061989390052356014,0.06338889808917197,0.4130807124352332,0.06487782950039651,0.43104064119922625,0.007526216640502355,0.2201009988023952,0.062234278458844126,0.09279163482733284,0.09450428397873956,0.43214800000000003,0.06202641741741742,0.02750839486673248,0.2129028674548849,0.006978881679389312,0.1759693138075314,0.08675227223088924,0.43595475581395343,0.02990890871794872,0.17681065010799132,0.028467458579881658,0.008318394753678824,0.23139330440587452,0.09859885442514474,0.08043416518936343,0.4334744896551724,0.021459500532481364,0.17629148268398268,0.0284453310139165,0.007772654639175257,0.21930699164133743,0.09003441471861473,0.3191670268948655
cash_advance_trx,2.731731843575419,1.8296605122096485,0.47791907514450865,6.554650373387644,0.5523255813953488,0.9787849566055931,6.882106066386875,1.9035262807717896,4.258367586611861,0.5050614605929139,1.1151832460732984,1.3503184713375795,10.157167530224525,1.4472640761300555,10.714700193423598,0.1109366823652538,4.197005988023952,1.1144191476941039,1.7744305657604702,1.8162490508731968,10.680501930501931,1.1123123123123122,0.5014807502467917,3.995021779713752,0.1025081788440567,4.2343096234309625,1.578783151326053,10.880549682875264,0.5169230769230769,4.280777537796976,0.5138067061143984,0.11708253358925144,4.427236315086782,1.9106699751861043,1.4810636583400483,10.908045977011493,0.4206602768903088,4.268398268398268,0.5159045725646123,0.11984536082474227,4.245440729483283,1.787012987012987,5.863080684596577
purchases_trx,12.684022346368716,37.801667659321026,9.847861271676301,2.5325865580448066,12.838662790697674,6.2483124397299905,2.2796642502861504,39.4251497005988,0.15678214914856137,12.700650759219089,6.651832460732984,39.92285916489738,7.77979274611399,41.019825535289456,6.574468085106383,11.344322344322345,0.08263473053892216,6.016345592527729,16.80749448934607,15.71450265755505,4.776061776061776,5.75015015015015,36.733464955577496,0.06160547604231487,11.036532170119957,43.4163179916318,7.0756630265210605,4.935517970401691,3.0543589743589745,44.06479481641469,36.785996055226825,12.978886756238003,0.10013351134846461,15.4383788254756,7.2006446414182115,4.996551724137931,3.3205537806176784,44.192640692640694,36.807157057654074,13.081829896907216,0.10030395136778116,15.744588744588745,2.5819070904645476
credit_limit,4366.6530485320145,6703.264930424061,3335.000023354682,4549.52066027513,3138.708028687863,3802.3467980272576,4651.992068722625,6896.128954212907,3030.113517155333,3116.393526734996,3874.1521497696335,6791.671491990091,7171.895116973229,7056.567659145122,7354.211359240812,3386.0777053631605,3026.7265387518155,3947.7411594045534,3152.8655400440853,2990.8124525436597,7125.245700246139,3903.2616252612615,6106.201202548865,2969.2179960893163,3340.100597027808,8742.887029288702,3672.4627712379092,7392.28810301797,4086.482037314392,8784.233261339094,6104.7157970236685,3178.3586020147154,2998.609256787049,3043.0521091811415,3702.0928869677678,7599.085684431034,4265.07277245261,8789.17748917749,6099.087294415507,3165.898514786727,3062.1707193518237,3076.883116883117,2879.625068578318
payments,1479.577413292581,2987.5166482537816,792.642248173422,1628.6489046844704,796.3321185743823,948.6909996952025,1691.7899369394693,3093.1106457522947,1072.5153403038169,786.7365715711678,962.9545616566493,3046.8984028890304,2672.798110033635,3232.821242768913,2781.980968179932,686.2968162134486,1065.7240756138024,965.152357658669,1134.8152314553267,1085.0553247792332,2670.1591846887063,952.4323805335134,2743.1567699140173,1024.387480079558,663.5107464017995,3805.916234303137,949.1990957413417,2763.5714233352005,926.3237199026153,3839.456935029481,2742.3850533075934,679.276408749488,1026.5155121064417,1116.5956541477253,956.0469166136585,2901.1830391867807,958.8626368094781,3841.3886906188304,2742.542148618936,682.2742866851804,1079.531930036056,1138.1564219219047,742.1002656118582
minimum_payments,643.3875098209564,825.8669022307506,371.8596845200751,938.0158005780054,430.85597382574565,423.58306619403527,943.2599368278861,812.9121751276037,551.4155860434362,409.1777284501499,452.33064202842706,744.5488775759296,1529.769242386346,706.0709896345335,1503.909615181573,190.7131217739017,548.658578049419,431.60886486258715,949.9350230041132,922.7838135047663,1442.2445240314357,430.66148963868574,299.70136952608664,537.9232295212873,191.86053468403824,1698.4997606394181,535.2911352260666,1486.2279783709573,225.5621226575499,1692.1830601374554,300.65219761826995,186.77559833921592,580.5115259607248,989.4967982512632,543.9238373511823,1553.7128201072228,222.51241064704564,1680.1186425901342,299.421984659966,185.14404066029223,611.8927136200434,1018.3365411731221,431.37659395014117
prc_full_payment,0.15371464849162012,0.2448736539606909,0.2021964178034682,0.030585109300746777,0.25915535065406975,0.0968648669238187,0.031802388401373526,0.2516957984031936,0.04839977803875514,0.2597602653651482,0.08596836544502617,0.2695275817409767,0.02571877115716753,0.2917746447264076,0.029842686653771763,0.3759172506541078,0.04805469341317366,0.09062435259778168,0.016967096987509183,0.016201725892179195,0.030913881274131274,0.08607547867867868,0.396957614017769,0.04815914374611076,0.3719371324972737,0.036450774058577405,0.06335182995319813,0.03187372093023256,0.2017975241025641,0.037435336933045356,0.38995202366863907,0.38066894113883554,0.0287628611481976,0.01390214888337469,0.06228558501208702,0.031082558620689656,0.2032449744408946,0.03751636580086581,0.3923903439363817,0.3824346552835052,0.027491210486322186,0.013162153246753247,0.05761438630806846
tenure,11.58413407821229,11.86777843954735,11.562543352601157,11.45417515274949,11.570857558139535,11.549180327868852,11.454406714994278,11.882900864936794,11.380504991192014,11.567968185104844,11.589005235602095,11.898089171974522,11.531088082901555,11.889770023790643,11.507736943907156,11.513343799058084,11.375449101796407,11.562171628721542,11.742101396032329,11.738041002277905,11.493243243243244,11.548948948948949,11.884501480750247,11.371499688861233,11.49781897491821,11.889121338912133,11.629485179407176,11.469344608879492,11.361025641025641,11.894168466522679,11.883629191321498,11.495201535508638,11.448598130841122,11.718775847808105,11.728444802578565,11.75287356321839,11.572949946751864,11.893939393939394,11.886679920477137,11.491623711340207,11.883738601823708,11.858874458874459,8.330073349633253
monthly_avg_purchase,71.03092942763627,229.8942577820233,47.259017124757065,15.390057873982771,50.58438140869345,50.346878525752075,13.222655452849748,237.8194243089097,0.7307705727266797,50.20598694060218,53.65706730789571,241.6653179174465,44.60661782284353,254.4464950117178,39.540892086274454,46.248511788287296,0.6125192418193915,53.053050074592974,68.84703733381893,62.747109236414474,29.321131177153497,51.400657382382384,224.93232671375995,0.4694787561363479,44.17112358158623,266.755960462364,57.5869085455626,30.09779543681301,26.915392138047135,269.97526425704103,225.19750448162935,50.97175584009365,0.5778874947741769,60.63030030065514,57.61773950175753,29.263771642326383,28.841744942771697,271.86790218472584,224.89384712826921,51.359783748754104,0.5669451160541585,60.54121199065484,23.11383570952275
